index,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Septiembre,Octubre,Noviembre,Diciembre
0,5,0,0,0,4,4,3,1,2,6,2,2
10,1,1,0,0,0,5,2,1,1,0,0,1
20,1,4,0,2,1,6,4,1,1,3,2,1
30,2,2,2,2,5,3,6,6,1,6,3,5
40,4,4,4,4,5,14,7,8,8,6,2,7
50,11,8,4,15,28,28,25,16,13,17,13,13
60,39,27,41,30,58,72,78,68,60,53,51,47
70,79,75,70,95,114,178,159,143,138,114,90,89
80,155,145,126,164,219,298,316,244,239,245,201,183
90,103,101,113,110,154,210,214,205,205,179,140,139
100,13,9,6,14,14,11,30,22,14,13,14,12
110,0,0,0,0,0,0,1,0,0,0,0,0
